timestamp,poly_btc_chg,binance_chg,delta,up_chg,down_chg
2026-03-05T02:20:02+00:00,,,18.78,,
2026-03-05T02:20:03+00:00,-4.5,0,14.28,,
2026-03-05T02:20:04+00:00,-2.04,0,12.24,0,0
2026-03-05T02:20:05+00:00,0,-8.97,21.21,-1,1
2026-03-05T02:20:06+00:00,-1.06,-0.01,20.16,-3,1
2026-03-05T02:20:07+00:00,-2.49,0.01,17.66,0.1,1
2026-03-05T02:20:08+00:00,-0.13,0,17.53,-0.1,0
2026-03-05T02:20:09+00:00,0,0,17.53,0,-0.9
2026-03-05T02:20:10+00:00,-0.02,-0.01,17.52,2,-0.1
2026-03-05T02:20:11+00:00,1.22,0.01,18.73,-0.9,0
2026-03-05T02:20:12+00:00,0.37,-0.01,19.11,0,-0.9
2026-03-05T02:20:13+00:00,0.27,0,19.38,0.9,-0.1
2026-03-05T02:20:14+00:00,-1.38,0,18,-0.9,1
2026-03-05T02:20:15+00:00,-0.39,0.01,17.6,-1,0.1
2026-03-05T02:20:16+00:00,-0.14,0,17.46,0,-0.1
2026-03-05T02:20:17+00:00,-0.03,0,17.43,0,1
2026-03-05T02:20:18+00:00,-0.13,0,17.3,0.9,0
2026-03-05T02:20:19+00:00,-0.33,0,16.97,0,-0.9
2026-03-05T02:20:20+00:00,0.02,0,16.99,-1,0
2026-03-05T02:20:21+00:00,0,0,16.99,1,0.9
2026-03-05T02:20:22+00:00,-0.15,0,16.84,0,-0.9
2026-03-05T02:20:23+00:00,0,0,16.84,-0.9,0.9
2026-03-05T02:20:24+00:00,-0.04,-0.01,16.81,0.9,0
2026-03-05T02:20:25+00:00,0.02,0.01,16.82,0,-0.9
2026-03-05T02:20:26+00:00,0.26,21.03,-3.95,1,0
2026-03-05T02:20:27+00:00,0,0,-3.95,4,-6.1
2026-03-05T02:20:28+00:00,17.83,0,13.88,3,-2
2026-03-05T02:20:29+00:00,-0.44,0,13.44,0,1
2026-03-05T02:20:30+00:00,-0.07,-0.01,13.38,0,1
2026-03-05T02:20:31+00:00,-0.2,-4.49,17.67,-4,1
2026-03-05T02:20:32+00:00,-0.92,-3.94,20.69,1,1
2026-03-05T02:20:33+00:00,0,0,20.69,-1,2
2026-03-05T02:20:34+00:00,-4.33,-0.36,16.72,-3,0
2026-03-05T02:20:35+00:00,-1.81,-0.01,14.92,0.1,1
2026-03-05T02:20:36+00:00,-0.53,0.01,14.38,-0.1,-0.9
2026-03-05T02:20:37+00:00,-1.65,-3.8,16.53,0,0.9
2026-03-05T02:20:38+00:00,0,-0.01,16.54,1,0
2026-03-05T02:20:39+00:00,-1.17,0.01,15.36,-1,0
2026-03-05T02:20:40+00:00,0,-0.01,15.37,1,-0.9
2026-03-05T02:20:41+00:00,-2.08,-3.6,16.89,0,0
2026-03-05T02:20:42+00:00,-0.17,-0.61,17.33,-3,3.9
2026-03-05T02:20:43+00:00,0,0,17.33,-0.9,-0.9
2026-03-05T02:20:44+00:00,-4.4,0,12.93,0.9,0.9
2026-03-05T02:20:45+00:00,0.24,-0.01,13.18,0,0
2026-03-05T02:20:46+00:00,0,0.01,13.17,-0.9,-0.9
