# On-chain CTF Exchange OrderFilled (Polygon via Alchemy). price_per_share = usdc / shares for that fill.
# slug=sol-updown-5m-1774458000 title="Solana Up or Down - March 25, 1:00PM-1:05PM ET"
# window_unix=1774458000..1774458299 (300s before 5m end) blocks=84668983..84669132
# polygon_meta={"chainId":137,"headBlock":84671240,"headBlockTs":1774462515}
unix_seconds,iso_utc,block_number,tx_hash,log_index,outcome,side,shares,usdc,price_per_share
1774458003,2026-03-25T17:00:03.000Z,84668984,0x300b8319a4ecbb7e358a22086703fdb90d6437f1b65192a814ae15f421f353d4,1505,Up,buy,6.235293,3.055294,0.49000007
1774458003,2026-03-25T17:00:03.000Z,84668984,0x300b8319a4ecbb7e358a22086703fdb90d6437f1b65192a814ae15f421f353d4,1509,Down,buy,6.235293,3.179999,0.50999993
1774458005,2026-03-25T17:00:05.000Z,84668985,0x2fe847c4736eb4dc62cf0797de89760edc284ad716a68dce980d04fb72034576,1586,Down,buy,6.000000,3.000000,0.50000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0x2fe847c4736eb4dc62cf0797de89760edc284ad716a68dce980d04fb72034576,1596,Down,buy,44.000000,22.000000,0.50000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0x2fe847c4736eb4dc62cf0797de89760edc284ad716a68dce980d04fb72034576,1600,Up,buy,50.000000,25.000000,0.50000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0xf05c5a916939e3f8c2a13a4b46e672d69c0be0827e9aef9e04681ceb7822868a,1713,Down,buy,5.000000,2.500000,0.50000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0xf05c5a916939e3f8c2a13a4b46e672d69c0be0827e9aef9e04681ceb7822868a,1717,Up,buy,5.000000,2.500000,0.50000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0x2032510531a4cee01849b3fc20b86227a7809322808b6f5ca9a65de78203972e,2358,Up,buy,18.510000,9.069900,0.49000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0x2032510531a4cee01849b3fc20b86227a7809322808b6f5ca9a65de78203972e,2362,Down,buy,18.510000,9.440100,0.51000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0x8fcd2b431eee19913b68ea6c910f1a63053b92db50e523b21fd06338a5a4c6a5,3582,Up,buy,1.960783,0.960784,0.49000017
1774458005,2026-03-25T17:00:05.000Z,84668985,0x8fcd2b431eee19913b68ea6c910f1a63053b92db50e523b21fd06338a5a4c6a5,3586,Down,buy,1.960783,0.999999,0.50999983
1774458005,2026-03-25T17:00:05.000Z,84668985,0x74210cfe2e144ddc6a44215e62e275bda1ea37d119a8077152e433adf3f0d599,4047,Down,buy,5.000000,2.450000,0.49000000
1774458005,2026-03-25T17:00:05.000Z,84668985,0x74210cfe2e144ddc6a44215e62e275bda1ea37d119a8077152e433adf3f0d599,4051,Up,buy,5.000000,2.550000,0.51000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0x91a1166a51eb4565482c48b2d35e961a70795ac5333bbadf5d47eb95d16414fd,430,Up,buy,2.000000,1.000000,0.50000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0x91a1166a51eb4565482c48b2d35e961a70795ac5333bbadf5d47eb95d16414fd,434,Down,buy,2.000000,1.000000,0.50000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0xf6a1a5205e2c54131109c01d3e93bba0f1aa0e0277a42537e14e8d7f34228bec,2279,Up,buy,5.200000,2.600000,0.50000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0xf6a1a5205e2c54131109c01d3e93bba0f1aa0e0277a42537e14e8d7f34228bec,2283,Down,buy,5.200000,2.600000,0.50000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0x20390d945868dd911e524a0f0496fa7b06610c5eba3913a3d052d4d71ad1dec1,3489,Down,buy,61.000000,29.890000,0.49000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0x20390d945868dd911e524a0f0496fa7b06610c5eba3913a3d052d4d71ad1dec1,3493,Up,buy,61.000000,31.110000,0.51000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0xe4ff800dc3cb3c64d4c8b27d49eef389cbbc192d9a04ae07874ea58d48d44621,4218,Up,buy,8.290000,4.145000,0.50000000
1774458007,2026-03-25T17:00:07.000Z,84668986,0xe4ff800dc3cb3c64d4c8b27d49eef389cbbc192d9a04ae07874ea58d48d44621,4222,Down,buy,8.290000,4.145000,0.50000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xba12cd8af80dfb4106a473c7eb4d2eb69e09d61ab2a7f7d355aa5bb7217210d9,1125,Down,buy,15.000000,7.350000,0.49000000
1774458009,2026-03-25T17:00:09.000Z,84668987,0xba12cd8af80dfb4106a473c7eb4d2eb69e09d61ab2a7f7d355aa5bb7217210d9,1129,Up,buy,15.000000,7.650000,0.51000000
