# Per-second volume-weighted avg: up_buy_vwap = sum(usdc)/sum(shares) for Up buys in that second.
# source=sol-updown-5m-1774458000_last30s_all_trades.csv
second_index,unix_seconds,iso_utc,up_buy_vwap,down_buy_vwap,up_sell_vwap,down_sell_vwap,fills_in_second
0,1774458270,2026-03-25T17:04:30.000Z,,,,,0
1,1774458271,2026-03-25T17:04:31.000Z,0.60321907,0.38891630,,0.35776730,60
2,1774458272,2026-03-25T17:04:32.000Z,,,,,0
3,1774458273,2026-03-25T17:04:33.000Z,0.69677955,0.30322045,,,19
4,1774458274,2026-03-25T17:04:34.000Z,,,,,0
5,1774458275,2026-03-25T17:04:35.000Z,0.75558620,0.25078315,,0.25922162,15
6,1774458276,2026-03-25T17:04:36.000Z,,,,,0
7,1774458277,2026-03-25T17:04:37.000Z,0.74739887,0.25167322,,0.24000000,21
8,1774458278,2026-03-25T17:04:38.000Z,,,,,0
9,1774458279,2026-03-25T17:04:39.000Z,,,,,0
10,1774458280,2026-03-25T17:04:40.000Z,,,,,0
11,1774458281,2026-03-25T17:04:41.000Z,0.72634588,0.26212892,0.79244154,0.22192892,37
12,1774458282,2026-03-25T17:04:42.000Z,,,,,0
13,1774458283,2026-03-25T17:04:43.000Z,0.77844012,0.20338193,,0.18502222,16
14,1774458284,2026-03-25T17:04:44.000Z,,,,,0
15,1774458285,2026-03-25T17:04:45.000Z,0.96308853,0.03986137,0.97000000,0.05059468,45
16,1774458286,2026-03-25T17:04:46.000Z,,,,,0
17,1774458287,2026-03-25T17:04:47.000Z,0.97911064,0.02000000,0.96042672,,21
18,1774458288,2026-03-25T17:04:48.000Z,,,,,0
19,1774458289,2026-03-25T17:04:49.000Z,0.96843388,0.03156612,,,16
20,1774458290,2026-03-25T17:04:50.000Z,,,,,0
21,1774458291,2026-03-25T17:04:51.000Z,0.98848172,0.01000000,0.98000000,,8
22,1774458292,2026-03-25T17:04:52.000Z,,,,,0
23,1774458293,2026-03-25T17:04:53.000Z,0.98999569,0.01000000,0.98000000,,16
24,1774458294,2026-03-25T17:04:54.000Z,,,,,0
25,1774458295,2026-03-25T17:04:55.000Z,0.99000000,0.01000000,,,30
26,1774458296,2026-03-25T17:04:56.000Z,,,,,0
27,1774458297,2026-03-25T17:04:57.000Z,0.99000000,0.01000000,0.98999996,,38
28,1774458298,2026-03-25T17:04:58.000Z,,,,,0
29,1774458299,2026-03-25T17:04:59.000Z,,,,,0
