slug,who,outcome,side,price,shares,usdc,timestamp
btc-updown-5m-1772819100,k9,Up,buy,0.5300,5.0000,2.65,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.5400,2.1739,1.17,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,0.1852,0.00,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.5200,51.0000,26.52,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,3.0863,0.00,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,0.4434,0.00,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.5400,12.5900,6.80,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Down,sell,0.4600,12.5900,5.79,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.5400,36.2300,19.56,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,0.8783,0.00,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,4.7077,0.00,2026-03-06T17:45:05.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,0.1695,0.00,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.5900,11.4500,6.76,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.5900,2.4390,1.44,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,2.0549,0.00,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Down,sell,0.4100,20.0000,8.20,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.0000,0.7957,0.00,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Down,sell,0.4100,10.0000,4.10,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Down,sell,0.4200,7.1100,2.99,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Up,buy,0.5881,37.1100,21.82,2026-03-06T17:45:07.000Z
btc-updown-5m-1772819100,k9,Down,buy,0.0000,4.3260,0.00,2026-03-06T17:45:11.000Z
btc-updown-5m-1772819100,k9,Down,buy,0.3600,43.2600,15.57,2026-03-06T17:45:11.000Z
btc-updown-5m-1772819100,k9,Down,buy,0.3600,7.7344,2.78,2026-03-06T17:45:11.000Z
