time,polymarket_btc,poly_chg,binance_btc,bin_chg,delta,up_cents,up_chg,down_cents,down_chg,seconds_left
2026-03-05T01:55:03,72567.16,,72525.01,,42.15,45.0,,54.0,,297
2026-03-05T01:55:04,72550.3,-16.86,72519.3,-5.71,31.00,43.0,-2.0,58.0,4.0,296
2026-03-05T01:55:07,,,72519.31,0.01,,43.0,0.0,58.0,0.0,292
2026-03-05T01:55:08,72540.89,,72519.3,-0.01,21.59,41.0,-2.0,59.0,1.0,291
2026-03-05T01:55:09,72540.89,0.00,72532,12.70,8.89,42.0,1.0,60.0,1.0,290
2026-03-05T01:55:10,72541.73,0.84,72538.72,6.72,3.01,47.0,5.0,56.0,-4.0,289
2026-03-05T01:55:11,72546.49,4.76,72538.71,-0.01,7.78,49.0,2.0,54.0,-2.0,288
2026-03-05T01:55:12,72555.71,9.22,72538.7,-0.01,17.01,48.0,-1.0,53.0,-1.0,287
2026-03-05T01:55:13,72554.67,-1.04,72538.7,0.00,15.97,47.0,-1.0,54.0,1.0,286
2026-03-05T01:55:14,72554.67,0.00,72538.7,0.00,15.97,45.0,-2.0,55.0,1.0,285
2026-03-05T01:55:15,72554.49,-0.18,72538.71,0.01,15.78,44.0,-1.0,56.0,1.0,284
2026-03-05T01:55:16,72554.97,0.48,72538.71,0.00,16.26,45.0,1.0,54.0,-2.0,283
2026-03-05T01:55:17,72555.02,0.05,72538.71,0.00,16.31,46.0,1.0,55.0,1.0,282
2026-03-05T01:55:18,72555.07,0.05,72538.71,0.00,16.36,46.0,0.0,56.0,1.0,281
2026-03-05T01:55:19,72555.07,0.00,72538.71,0.00,16.36,46.0,0.0,54.0,-2.0,280
2026-03-05T01:55:20,72554.96,-0.11,72522.28,-16.43,32.68,45.1,-0.9,54.1,0.1,279
2026-03-05T01:55:21,72555.14,0.18,72519.87,-2.41,35.27,45.0,-0.1,55.0,0.9,278
2026-03-05T01:55:22,72555.14,0.00,72519.88,0.01,35.26,43.0,-2.0,60.0,5.0,277
2026-03-05T01:55:23,72538.57,-16.57,72500,-19.88,38.57,40.0,-3.0,60.0,0.0,276
2026-03-05T01:55:24,72538.68,0.11,72500,0.00,38.68,40.0,0.0,60.0,0.0,275
2026-03-05T01:55:25,72527.8,-10.88,72500,0.00,27.80,41.0,1.0,60.0,0.0,274
2026-03-05T01:55:26,72527.8,0.00,72500,0.00,27.80,40.0,-1.0,60.0,0.0,273
2026-03-05T01:55:27,72524.91,-2.89,72500,0.00,24.91,40.0,0.0,59.1,-0.9,272
2026-03-05T01:55:28,72525.13,0.22,72513.39,13.39,11.74,41.0,1.0,60.0,0.9,271
2026-03-05T01:55:29,72525.08,-0.05,72513.39,0.00,11.69,43.0,2.0,57.0,-3.0,270
2026-03-05T01:55:30,72528.93,3.85,72513.39,0.00,15.54,43.0,0.0,57.0,0.0,269
2026-03-05T01:55:31,72533.01,4.08,72513.39,0.00,19.62,43.1,0.1,57.0,0.0,268
2026-03-05T01:55:32,72532.85,-0.16,72513.38,-0.01,19.47,44.0,0.9,57.0,0.0,267
2026-03-05T01:55:33,72533.56,0.71,72519.88,6.50,13.68,43.1,-0.9,57.0,0.0,266
2026-03-05T01:55:34,72535.93,2.37,72519.88,0.00,16.05,44.1,1.0,56.0,-1.0,265
2026-03-05T01:55:35,72536.72,0.79,72513.38,-6.50,23.34,44.0,-0.1,56.0,0.0,264
2026-03-05T01:55:36,72539.18,2.46,72504.23,-9.15,34.95,40.0,-4.0,59.0,3.0,263
2026-03-05T01:55:37,72535.02,-4.16,72504.24,0.01,30.78,41.0,1.0,61.0,2.0,262
2026-03-05T01:55:38,72528.52,-6.50,72504.24,0.00,24.28,39.1,-1.9,61.0,0.0,261
2026-03-05T01:55:39,72528.52,0.00,72490.05,-14.19,38.47,40.0,0.9,60.1,-0.9,260
2026-03-05T01:55:40,72526.81,-1.71,72484.53,-5.52,42.28,35.0,-5.0,65.0,4.9,259
2026-03-05T01:55:41,72526.81,0.00,72484.53,0.00,42.28,35.0,0.0,66.0,1.0,258
2026-03-05T01:55:42,72506.34,-20.47,72461.2,-23.33,45.14,35.0,0.0,65.1,-0.9,257
2026-03-05T01:55:43,72502.73,-3.61,72437.82,-23.38,64.91,34.0,-1.0,65.1,0.0,256
2026-03-05T01:55:44,72502.73,0.00,72437.82,0.00,64.91,26.0,-8.0,75.0,9.9,255
2026-03-05T01:55:45,72462.02,-40.71,72437.82,0.00,24.20,26.0,0.0,74.0,-1.0,254
2026-03-05T01:55:46,72462.02,0.00,72437.85,0.03,24.17,25.0,-1.0,75.0,1.0,253
2026-03-05T01:55:47,72460.64,-1.38,72437.85,0.00,22.79,26.0,1.0,75.0,0.0,252
2026-03-05T01:55:48,72461,0.36,72437.84,-0.01,23.16,24.0,-2.0,74.0,-1.0,251
2026-03-05T01:55:49,72460.06,-0.94,72437.85,0.01,22.21,26.0,2.0,74.0,0.0,250
2026-03-05T01:55:50,72456.75,-3.31,72436,-1.85,20.75,26.0,0.0,75.0,1.0,249
2026-03-05T01:55:51,72457.62,0.87,72436,0.00,21.62,24.0,-2.0,77.0,2.0,248
2026-03-05T01:55:52,72457.62,0.00,72436,0.00,21.62,24.0,0.0,77.0,0.0,247
2026-03-05T01:55:53,72456.01,-1.61,72438.62,2.62,17.39,26.0,2.0,77.0,0.0,246
2026-03-05T01:55:54,72456.03,0.02,72438.61,-0.01,17.42,24.0,-2.0,76.0,-1.0,245
2026-03-05T01:55:55,72457.74,1.71,72418.17,-20.44,39.57,23.0,-1.0,79.0,3.0,244
2026-03-05T01:55:56,72457.71,-0.03,72421.58,3.41,36.13,22.0,-1.0,79.0,0.0,243
2026-03-05T01:55:57,72457.71,0.00,72421.57,-0.01,36.14,20.0,-2.0,80.0,1.0,242
2026-03-05T01:55:58,72443.77,-13.94,72421.58,0.01,22.19,23.0,3.0,79.0,-1.0,241
